상호명,분류,영업상태,도로명주소,시군구명,공사립구분,위도,경도,인허가일자,폐업일자
건영스파헬스클럽,헬스장,폐업,"서울특별시 노원구 동일로203가길 29, 8층 (중계동, 건영백화점)",노원구,사립,37.639936229552006,127.06136723309746,2013-08-12,2020-12-30
두성헬스,헬스장,폐업,"서울특별시 동작구 동작대로29길 69 (사당동, 금강산보석불가마사우나)",동작구,사립,37.48846315268285,126.97524345823331,2008-06-19,2022-01-26
Young 남여헬스클럽,헬스장,폐업,"서울특별시 노원구 노원로34길 80, 지하1층 1호 (상계동)",노원구,사립,37.662614492426385,127.06320527202675,2014-06-27,2020-12-02
LEON GYM(317),헬스장,폐업,서울특별시 강남구 테헤란로64길 14 (대치동),강남구,사립,37.50405158041656,127.04815532215864,2012-12-04,2021-03-11
힐링짐(321),헬스장,폐업,서울특별시 강남구 언주로 425 (역삼동),강남구,사립,37.501108899384775,127.04000313882383,2013-01-03,2021-03-11
휘트니스 라운지(457),헬스장,폐업,"서울특별시 강남구 자곡로 120, 203~205호 (자곡동, 세곡드림프라자)",강남구,사립,37.47211766697986,127.09361912659327,2016-07-04,2021-03-11
강남헬스클럽(41),헬스장,폐업,서울특별시 강남구 봉은사로 331 (논현동),강남구,사립,37.51028749231027,127.04007751933658,1996-03-07,2021-03-11
헬스렌드(42),헬스장,폐업,서울특별시 강남구 테헤란로13길 11 (역삼동),강남구,사립,inf,inf,1996-04-22,2021-03-11
휘트니스2.0(197),헬스장,폐업,"서울특별시 강남구 역삼로14길 19  (역삼동,지층)",강남구,사립,37.49342550699692,127.03295192963326,2008-12-17,2022-11-24
오투 휘트니스,헬스장,폐업,"서울특별시 동작구 장승배기로28길 6, 1~2층 (노량진동)",동작구,사립,37.512350896504344,126.93771441568302,2003-05-20,2022-04-07
콩고 휘트니스 메가점,헬스장,폐업,"서울특별시 동작구 노량진로 140, 지2층 B204~B205호 (노량진동, 메가스터디타워)",동작구,사립,37.51281705287819,126.93877654872867,2016-09-01,2020-06-19
부림헬스(85),헬스장,폐업,"서울특별시 강남구 남부순환로 2921 (대치동,남서울상가2층41호)",강남구,사립,37.49360623605217,127.05680991197323,2000-07-03,2021-03-11
강남헬스뱅크(25),헬스장,폐업,서울특별시 강남구 강남대로 318 (역삼동),강남구,사립,37.4915811986299,127.02829921562001,1995-10-05,2021-03-11
이냐시오헬스클럽(183),헬스장,폐업,"서울특별시 강남구 삼성로75길 33 (대치동,2층)",강남구,사립,37.502751288609275,127.05274794846882,2007-10-29,2021-03-11
인-코 휘트니스클럽(58),헬스장,폐업,서울특별시 강남구 선릉로93길 18 (역삼동),강남구,사립,37.50528251117736,127.0439190536531,1999-11-18,2021-03-11
휴전휘트니스(78),헬스장,폐업,서울특별시 강남구 논현로149길 69 (논현동),강남구,사립,37.51659558827867,127.0204453839254,1999-12-21,2021-03-11
엠플리휘트니스(372),헬스장,폐업,서울특별시 강남구 선릉로131길 4 (논현동),강남구,사립,37.5179842094671,127.03768969636933,2014-05-07,2021-03-11
라핏(376),헬스장,폐업,서울특별시 강남구 역삼로3길 17-6 (역삼동),강남구,사립,37.494701974383574,127.02770534373603,2014-06-27,2021-03-11
에스투 짐,헬스장,폐업,"서울특별시 마포구 월드컵북로6길 24-7, 지하1층 (동교동)",마포구,사립,37.55815915098559,126.91735677413021,2015-01-09,2020-02-11
피아휘트니스클럽(228),헬스장,폐업,"서울특별시 강남구 강남대로 596 (논현동,극동IND 빌딩 지하1층)",강남구,사립,37.51494744035477,127.01750849868742,2010-06-24,2021-03-11
헬리오스 휘트니스(230),헬스장,폐업,"서울특별시 강남구 봉은사로 223 (논현동,세울스타스 관광호텔 6층)",강남구,사립,37.5084225336817,127.03367659777446,2010-08-02,2021-03-11
(주)엑스핏(364),헬스장,폐업,서울특별시 강남구 선릉로161길 18 (신사동),강남구,사립,37.52749112832281,127.03612958168407,2014-04-01,2021-03-11
모즈메디짐,헬스장,폐업,"서울특별시 강남구 압구정로80길 35, 5층 (청담동, 드림빌딩)",강남구,사립,37.52441681389404,127.04090155943963,2017-05-02,2020-12-08
