,공원명,시군구명,공원주소,경도,위도,면적(㎡),소분류
139,개화산 , 강서구 ,"07601 서울 강서구 양천로 22 (방화동, 개화산역) 개화산 ",,,,산
140,백련산, 서대문구 ,03651 서울 서대문구 홍은동 ,,,,산
141,매봉산 야경, 중구 ,  ,,,,산
142,안산, 서대문구 ,03721  ,,,,산
143,도봉산, 도봉구 ,"132-010 서울특별시 도봉구 도봉동 경기 의정부시, 양주시 장흥면 일대 ",,,,산
144,인왕산 야경, 종로구 ,03023 서울 종로구 통일로18나길 3 ,,,,산
145,백악(북악)산 (서울 한양도성), 종로구 ,03038 서울 종로구 옥인6길 26-17 ,,,,산
146,인왕산, 종로구 ,110-080 서울특별시 종로구 통일로18가길 20  (무악동) ,,,,산
147,남산서울타워 야경, 용산구 ,"04340 서울 용산구 남산공원길 105 (용산동2가, YTN서울타워) ",,,,산
148,아차산, 광진구 ,04948 서울 광진구 영화사로 135 (아차산등산로 입구) ,,,,산
149,불암산, 노원구 ,01716 서울특별시 노원구 덕릉로94길 73 (중계동) ,,,,산
150,수락산, 노원구 ,139-200 서울특별시 노원구 상계동 일대 ,,,,산
151,북악산 야경, 종로구 ,"03010 서울 종로구 북악산로 267 (평창동, 북악팔각정) ",,,,산
152,봉산 , 은평구 ,03424 서울 은평구 서오릉로23길 8-5 (수국사) ,,,,산
153,응봉산 야경, 성동구 ,04743 서울 성동구 독서당로 362 (응봉산팔각정 공중화장실) ,,,,산
154,관악산, 관악구 ,151-019 서울특별시 관악구 대학동 일대 ,,,,산
155,지양산, 양천구 ,08037 서울 양천구 신월동  산 158-1,,,,산
156,응봉산 팔각정 , 성동구 ,04743 서울 성동구 독서당로 362 (응봉산팔각정 공중화장실) ,,,,산
157,중랑천 제방, 중랑구 , 서울특별시 중랑구 면목동 일대 ,,,,하천
158,석촌호수 야경, 송파구 ,05608 서울 송파구 삼학사로 136 (잠실동) ,,,,하천
159,청계천, 종로구 ,03187 서울 종로구 무교로 37 (서린동) ,,,,하천
160,불광천 해담는다리, 서대문구 ,03680 서울 서대문구 불광천길 156 ,,,,하천
161,노들섬, 용산구 ,04427 서울 용산구 양녕로 445 (이촌동) 노들섬 ,,,,하천
162,서래섬, 서초구 ,"06500 서울 서초구 신반포로11길 40 (반포동, 한강공원 반포 안내센터) ",,,,하천
163,우이동계곡, 강북구 ,01000 서울 강북구 삼양로181길 141-5 (우이산장) ,,,,하천
164,불광천, 은평구 , 서울 은평구 불광동 서대문구 북가좌동 일대 ,,,,하천
165,홍제천, 서대문구 ,"120-090 서울특별시 서대문구 홍제동 종로구, 서대문구, 마포구 일대 ",,,,하천
166,뚝섬유원지, 광진구 ,05097 서울특별시 광진구 강변북로 139  (자양동) ,,,,하천
167,백사실계곡, 종로구 ,03019 서울 종로구 세검정로6길 98 ,,,,하천
168,수성동계곡, 종로구 ,03034 서울 종로구 옥인동 185-3 수성동 계곡,,,,하천
169,진관사계곡, 은평구 ,"03308 서울 은평구 진관길 73 (진관동, 진관사) ",,,,하천
170,양재천&탄천, 서초구 ,  ,,,,하천
171,한강, 영등포구 ,07243 서울 영등포구 여의공원로 68 ,,,,하천
172,삼천사계곡, 은평구 ,"03308 서울 은평구 연서로54길 127 (진관동, 삼천사) 인근",,,,하천
173,북서울꿈의숲, 강북구 ,01228 서울특별시 강북구 월계로 173  (번동) ,,,,그외
174,금선사, 종로구 ,"03000 서울 종로구 비봉길 137 (구기동, 금선사) ",,,,그외
175,광진숲나루, 광진구 ,04982 서울 광진구 광장로 11 ,,,,그외
176,춘당지, 종로구 ,"03072 서울 종로구 창경궁로 185 (와룡동, 창경궁) ",,,,그외
177,홍릉시험림(홍릉숲), 동대문구 ,"02455 서울 동대문구 회기로 57 (청량리동, 국립산림과학원) ",,,,그외
178,양재시민의 숲, 서초구 ,06773 서울특별시 서초구 매헌로 99 (양재동) ,,,,그외
179,몽촌토성, 송파구 ,05540 서울특별시 송파구 올림픽로 424  (방이동) ,,,,그외
180,푸른수목원, 구로구 ,"08361 서울 구로구 연동로 240 (항동, 푸른수목원) ",,,,그외
181,중랑캠핑숲, 중랑구 ,"02062 서울 중랑구 망우로87길 110 (망우동, 캠핑장관리소) 중랑캠핑장",,,,그외
182,노원우주학교, 노원구 ,01779 서울 노원구 동일로 동일로 205길 13 노원우주학교 ,,,,그외
183,문화비축기지, 마포구 ,03914 서울 마포구 증산로 87 (성산동) ,,,,그외
184,녹사평역 지하예술정원, 용산구 ,"04353 서울 용산구 녹사평대로 지하 195 (용산동4가, 6호선 녹사평역) ",,,,그외
185,서울숲, 성동구 ,04770 서울특별시 성동구 뚝섬로 273  (성수동1가) ,,,,그외
186,서울식물원, 강서구 ,"07789 서울 강서구 마곡동로 161 (마곡동, 서울식물원) ",,,,그외
