요리,종류,난이도,소요시간,링크,재료,재료수
고수 페스토 크림파스타 ,양식,1,25,https://wtable.co.kr/recipes/Kp4dGbK9Zp3wUdL7rJTPDxJG?location=recipe_home,고수 소금 파스타면 식용유 생크림 고수페스토 후춧가루 새우,8
레몬 딜 버터,양식,1,20,https://wtable.co.kr/recipes/bX2xsSKMrn5CBkbydGhy56hf?location=recipe_home,랩 종이호일 버터 레몬즙 레몬 딜,6
레몬 딜 버터 파스타,양식,1,25,https://wtable.co.kr/recipes/mQYnCcJVE7EEu9iDvD2j7xYb?location=recipe_home,소금 파스타면 레몬딜버터 마늘 후춧가루 딜,6
치미추리 스테이크,양식,1,20,https://wtable.co.kr/recipes/ewjgE7Wm4SZ7SzNMPHFv29Ln?location=recipe_home,페퍼 레몬제스트 소금 생파슬리 인식초 올리고당 스테이크용소고기 마늘 레몬즙 후춧가루 올리브오일,11
선 드라이 토마토 페스토,양식,1,10,https://wtable.co.kr/recipes/i5atx6nyrY5NH3uYAMJvDxVq?location=recipe_home,파르메산치즈 아몬드 소금 올리브 마늘 토마토 후춧가루 올리브오일 바질잎,9
토마토 페스토 파스타,양식,1,25,https://wtable.co.kr/recipes/eQjTiB8jDHhCnUacFmHjXjNs?location=recipe_home,파슬리가루 소금 파스타면 페스토 마늘 후춧가루 올리브오일,7
바질 페스토 파스타,양식,1,25,https://wtable.co.kr/recipes/o7YBnJqcZS8vopfrWDqczuvY?location=recipe_home,바질페스토 소금 파스타 파마산치즈가루 마늘 후춧가루 올리브오일,7
곶감 뇨키,양식,2,40,https://wtable.co.kr/recipes/7expU8dgn2ecRiwRUZMy32gm?location=recipe_home,곶감 감자 소금 카옌페퍼 후추 생크림 달걀노른자 박력분 그라나파다노치즈 올리브오일,10
원팬 새우 파스타,양식,1,20,https://wtable.co.kr/recipes/omwbwT6dCErxKPMsdyE96wEA?location=recipe_home,시금치 물 소금 치킨스톡 양파 스파게티면 페퍼론치노 마늘 방울토마토 파마산치즈 올리브유 후춧가루 새우,13
버섯 리조또,양식,1,35,https://wtable.co.kr/recipes/WBYpdEr84uufP6rjD8kA47uA?location=recipe_home,표고버섯 두유 화이트인 소금 식용유 다진파슬리 채수 현미밥 후춧가루 트러플오일,10
비트수프,양식,1,30,https://wtable.co.kr/recipes/X8AAyzqYpR8DmbcVgWRg41df?location=recipe_home,검은깨 소금 비트 채수 후춧가루 올리브오일 식물성요거트,7
감자뇨끼파스타,양식,2,50,https://wtable.co.kr/recipes/KdX4uK3mEURmd3fUpyrW9wPv?location=recipe_home,감자 소금 파슬리 화이트인 밀가루 양파 양송이버섯 달걀 베이컨 버터 다진마늘 파마산치즈 올리브유 후춧가루,14
사과고르곤졸라피자,양식,2,100,https://wtable.co.kr/recipes/1qCYTUnCN6Gs7jV9DhmShYx9?location=recipe_home,설탕 물 드라이이스트 소금 강력분 꿀 다진호두 피자치즈 사과 올리브오일 고르곤졸라치즈,11
오리스테이크,양식,1,30,https://wtable.co.kr/recipes/EPAkRb8VrVNewU3bF7RABtuR?location=recipe_home,화이트인 소금 후추 꿀 샬롯 오리가슴살 발사믹식초,7
올리브오븐구이,양식,1,30,https://wtable.co.kr/recipes/N7R5tSuR84TxoGjdZ79S5n34?location=recipe_home,허브가루 올리브 크러쉬드페퍼 통마늘 로즈마리 블랙올리브 후춧가루 올리브오일,8
투움바파스타,양식,2,40,https://wtable.co.kr/recipes/YkhoZ1RMvvucwmXfHXeA4Nhb?location=recipe_home,후춧가루 올리브오일 소금 생크림 페페론치노 파마산치즈가루 마늘 파프리카파우더 양파 버터 우유 그라나파다노치즈 올리브유 맛술 실파 양송이버섯 베이컨 간장 새우 페투치네면,20
사과브리치즈핑거푸드,양식,1,15,https://wtable.co.kr/recipes/A23UXioscLzEF4XCRjY2EfmW?location=recipe_home,다진견과류 브리치즈 꿀 바게트 시나몬파우더 버터 사과 타임,8
부라타샐러드,양식,1,5,https://wtable.co.kr/recipes/Vknh411PRVQVuxm6aQBKYSP5?location=recipe_home,바질페스토 부라타치즈 소금 후추 방울토마토 올리브오일 바질잎,7
까르보나라,양식,1,20,https://wtable.co.kr/recipes/zxahQwKZx73j3PX7zEu3RA8t?location=recipe_home,물 소금 파스타면 체타 달걀노른자 달걀 파마산치즈 면수 올리브유 후춧가루,10
슈니첼,양식,2,30,https://wtable.co.kr/recipes/QxLfYkoJ5qQAmKDriCFSTPfC?location=recipe_home,레몬제스트 소금 연유 식용유 돼지고기 빵가루 밀가루 양파 크렌베리잼 달걀 레몬즙 레몬 후춧가루 마요네즈,14
잠봉뵈르 샌드위치,양식,1,10,https://wtable.co.kr/recipes/WsEFbu4Eog9KhRow99esH94S?location=recipe_home,잠봉햄 바게트 가염버터,3
버터치킨카레,양식,1,50,https://wtable.co.kr/recipes/SeQmzbBqCYtSooGAED62wQ3h?location=recipe_home,땅콩버터 파슬리가루 소금 생크림 고형카레 우유 양파 밥 치킨육수 버터 다진마늘 토마토 닭고기 후춧가루 생강가루 맛술,16
카레홍합탕,양식,1,30,https://wtable.co.kr/recipes/E1BQcpAThphmQZF44Q6KCGa5?location=recipe_home,물 소금 카레가루 청양고추 양파 홍합 셀러리 후춧가루 올리브오일 대파,10
미국 피칸 파이,양식,2,90,https://wtable.co.kr/recipes/BpJ4SX2QK1TMJ76e3cUM6f6A?location=recipe_home,소금 미국피칸 물엿 꿀 슈가파우더 아몬드가루 달걀노른자 녹인버터 버터 박력분 머스코바도,11
미국 피칸 크러스트 치킨텐더 ,양식,2,40,https://wtable.co.kr/recipes/ngiPGXVZt6J3JJ5K5mo5MVRn?location=recipe_home,파슬리 튀김가루 미국피칸 식용유 소금 카레가루 빵가루 꿀 고춧가루 머스터드 달걀 다진마늘 파마산치즈 씨겨자 우유 후춧가루 닭안심 마요네즈,18
미국 피칸 페스토 파스타,양식,1,30,https://wtable.co.kr/recipes/AF3YTaDoJTbPBnXC9PtKyFZH?location=recipe_home,소금 파스타면 미국피칸 후추 로즈마리 브라운양송이 파마산치즈 마늘 올리브오일,9
케이준 감자튀김,양식,2,40,https://wtable.co.kr/recipes/DdvqjZ3QzqjcVwtnJW5By6rA?location=recipe_home,케찹 파슬리가루 감자 튀김가루 카레가루 고춧가루 허브 파마산치즈가루,8
감자 오믈렛,양식,1,40,https://wtable.co.kr/recipes/JUJn9SZwUVRrMpENjoiEP26K?location=recipe_home,감자 파프리카파우더 소금 청피망 양파 달걀 베이컨 마늘 우유 후춧가루 올리브오일,11
연어 빠삐요뜨,양식,2,40,https://wtable.co.kr/recipes/kbBuuZArvzYvyo9TdwwZGfBX?location=recipe_home,감자 소금 화이트인 브로콜리 케이퍼 양파 연어 버터 아스파라거스 레몬 올리브유 후춧가루 허브가루 딜,14
콜리플라워스테이크,양식,1,60,https://wtable.co.kr/recipes/Eokq3G7D26ueD9dgfmbaTDV2?location=recipe_home,설탕 감자 바질페스토 파프리카파우더 소금 생크림 올리브 콜리플라워 바질가루 양송이버섯 버터 올리브유 후춧가루 메이플시럽,14
뢰스티,양식,1,30,https://wtable.co.kr/recipes/b2esZscRZM2pkMfndxoxhhoj?location=recipe_home,감자 소금 꿀 모짜렐라슬라이스 버터 그라나파다노치즈 후춧가루,7
채끝바비큐꼬치구이,양식,1,25,https://wtable.co.kr/recipes/eJEnNtJ4aGe9WoZBMWxHySRp?location=recipe_home,단호박 토마토케첩 채끝살스테이크 허브 바비큐소스 올리고당 새송이버섯 간장 방울토마토 다진마늘 적양파 후춧가루 올리브오일 대파 맛술,15
채끝살스테이크,양식,1,15,https://wtable.co.kr/recipes/xTnfDks83MAwnGwfsHpccncd?location=recipe_home,단호박 스테이크소스 케첩 소금 머스터드소스 굴소스 채끝살 새송이버섯 다진마늘 방울토마토 마늘쫑 후춧가루 적양파,13
바질페스토 감바스,양식,1,20,https://wtable.co.kr/recipes/XxFFmnHQm2UmedvhA4krQA3U?location=recipe_home,바질페스토 소금 브로콜리 바게트빵 로즈마리 새송이버섯 페퍼론치노 마늘 후춧가루 올리브오일 새우,11
사우어크라우트,양식,2,25,https://wtable.co.kr/recipes/hnwDBdMAfSGYgU5Jp1pc18my?location=recipe_home,월계수잎 양배추 소금 당근,4
필리치즈샌드위치,양식,1,25,https://wtable.co.kr/recipes/hFYZX15WEQjVDLYkXwVt4HQc?location=recipe_home,핫도그빵 쇠고기불고기용 파프리카파우더 소금 식용유 콜비잭치즈 양파 피망 후춧가루 올리브오일,10
양파수프,양식,2,120,https://wtable.co.kr/recipes/AZKDax22Eu28mKCk7ZXZAitt?location=recipe_home,파슬리가루 소금 인 바게트빵 양파 치킨육수 버터 월계수잎 그뤼에르치즈 후춧가루,10
치킨마르게리타,양식,2,40,https://wtable.co.kr/recipes/Ao8GjZo3K9Uq4qSG8j2JmVuA?location=recipe_home,바질페스토 소금 닭가슴살 바질가루 발사믹식초 올리고당 바질잎 생모짜렐라치즈 방울토마토 레몬즙 올리브유 후춧가루 올리브오일 생강가루,14
수플레오믈렛,양식,1,20,https://wtable.co.kr/recipes/qkRxd1VwZjafRbhE6Ti4NJJu?location=recipe_home,설탕 달걀 버터 소금,4
라구파스타,양식,2,60,https://wtable.co.kr/recipes/W8S8fhnVdacnCxmXXShYvha2?location=recipe_home,소금 인 토마토 양파 당근 쇠고기돼지고기 치킨육수 토마토소스 버터 다진마늘 샐러리 그라나파다노치즈 올리브유 후춧가루 페투치네면,15
시금치프리타타,양식,1,30,https://wtable.co.kr/recipes/w7kqKj3AftPof3VXh3yVykvn?location=recipe_home,시금치 소금 양파 슈모짜렐라치즈 그라나파다노치즈 달걀 베이컨 버터 방울토마토 우유 후춧가루,11
아보카도연어오픈샌드위치,양식,1,25,https://wtable.co.kr/recipes/AifPYKsiEaFdKvKMNuP8eKSu?location=recipe_home,파슬리가루 물 소금 크러쉬드페퍼 식초 적양파피클 훈제연어슬라이스 달걀 루꼴라 곡물빵 레몬 후춧가루 올리브오일 아보카도,14
딸기 크림치즈 오픈 토스트,양식,1,20,https://wtable.co.kr/recipes/fPkn4NQWTWeo1zLTqoJ6doaF?location=recipe_home,설탕 딸기 소금 생크림 딸기잼 다진피스타치오 필라델피아크림치즈딸기 로즈마리 달걀 버터 우유 식빵 메이플시럽,13
미니 파프리카 크림치즈 카나페,양식,1,20,https://wtable.co.kr/recipes/sFbGcFuLdKRdE8zUYpsxsn6y?location=recipe_home,파프리카 파슬리가루 크랜베리 소금 호두강정 꿀 발사믹식초 필라델피아크림치즈플레인 후춧가루 올리브오일 딜,11
아보카도연어오븐구이,양식,1,25,https://wtable.co.kr/recipes/GGP7PiXVKz8CJihhZ3msnZ2s?location=recipe_home,바질페스토 소금 크러쉬드페퍼 훈제연어슬라이스 달걀 후춧가루 아보카도 딜,8
스테이크화이타,양식,2,30,https://wtable.co.kr/recipes/oHS9Vm8nv1h7aHpa75fg5vs4?location=recipe_home,케찹 설탕 파슬리가루 파프리카 소금 파프리카파우더 토르티야 양파 피망 사워크림 구아카몰 쇠고기 레몬즙 토마토 올리브유 후춧가루 핫소스 새우,18
무화과핑거푸드,양식,1,15,https://wtable.co.kr/recipes/PNArtyRg47wCVhp1x3kLGJy6?location=recipe_home,피스타치오 리코타치즈 프로슈토 다진피스타치오 바게트 발사믹글레이즈 민트 후춧가루 아몬드슬라이스 카망베르치즈 메이플시럽 무화과,12
복숭아 마스카포네치즈 카나페,양식,1,10,https://wtable.co.kr/recipes/eyvt6jZAHWEKZuCxVkVy2RCA?location=recipe_home,피스타치오 아몬드 리코타치즈 복숭아 타임 후춧가루 메이플시럽,7
야생블루베리 드레싱과 닭가슴살구이,양식,1,45,https://wtable.co.kr/recipes/rQWKwsGrkDDDy6USNGw7mbjC?location=recipe_home,물 율무 다진마늘 후춧가루 올리브오일 퀴노아 샐러드채소 소금 닭가슴살 올리고당 야생블루베리 미국야생블루베리 양파 발사믹식초 우유 올리브유 맛술 로즈마리 간장 레몬즙,20
야생블루베리 콤포트와 프렌치토스트,양식,1,30,https://wtable.co.kr/recipes/YFPEmSkYmX4MMWUFrEVTDRAK?location=recipe_home,설탕 소금 미국야생블루베리 우유 달걀 버터 레몬즙 슈가파우더 식빵 레몬슬라이스,10
통감자치즈구이,양식,1,50,https://wtable.co.kr/recipes/33rhnQYbZBJYPrenSWk6ta68?location=recipe_home,감자 실파 소금 콜비잭치즈 양파 사워크림 베이컨 버터 피자치즈 우유 후춧가루 올리브오일,12
아보카도새우 오픈샌드위치,양식,1,25,https://wtable.co.kr/recipes/PiSQdxAvS7PKCbC9xT9q8YCG?location=recipe_home,파프리카파우더 소금 크러쉬드페퍼 마요네즈 카레가루 칵테일새우 다진양파 바게트 버터 루꼴라 레몬즙 후춧가루 올리브오일 아보카도 디종머스터드,15
샥슈카(에그인헬),양식,1,30,https://wtable.co.kr/recipes/W5qR2FNGXJgVrNUU46S43BH5?location=recipe_home,파프리카 물 소금 파슬리 소시지 양파 아라비아타토마토소스 달걀 베이컨 모차렐라치즈 다진마늘 올리브유 후춧가루,13
로스트치킨,양식,2,100,https://wtable.co.kr/recipes/g6FVYXwBUuehh4FCS9STJpTa?location=recipe_home,파슬리가루 닭 감자 소금 레몬 통마늘 당근 로즈마리 녹인버터 방울양배추 샬룻 마늘 다진로즈마리 월계수잎 후춧가루 올리브오일,16
알리오올리오 파스타,양식,2,30,https://wtable.co.kr/recipes/cdiopznj1b21eY22r2bfThLh?location=recipe_home,이탈리안파슬리 소금 스파게티물 스파게티면 페페론치노 마늘 후춧가루 올리브오일,8
아보카도튀김,양식,1,30,https://wtable.co.kr/recipes/FT1pPycn6Hw1a2JXKJ984amn?location=recipe_home,파슬리가루 파프리카파우더 튀김가루 빵가루 케쳡 달걀 파마산치즈가루 다진마늘 레몬즙 레몬 아보카도 마요네즈,12
콘치즈,양식,1,25,https://wtable.co.kr/recipes/9rENMmTtPQKVnNndQwhsz7F1?location=recipe_home,파슬리가루 스위트콘 슬라이스치즈 설탕 소금 양파 피망 버터 피자치즈 후춧가루 마요네즈,11
감자버터오븐구이,양식,2,60,https://wtable.co.kr/recipes/6hkTcoEiMgDtGpR8AGYTKaBG?location=recipe_home,파슬리가루 감자 소금 베이컨 플레인요거트 체더치즈 버터 후춧가루 올리브오일,9
바지락술찜,양식,1,25,https://wtable.co.kr/recipes/5RNGz73sDUwLeA8d6qJuLR5V?location=recipe_home,실파 바지락 청주 페페론치노 마늘 후춧가루 올리브오일,7
브로콜리두부샐러드,양식,1,25,https://wtable.co.kr/recipes/M7w5SqTufSAGyaJt3aHzj3rA?location=recipe_home,베이컨슬라이스 두부 설탕 샐러드채소 소금 브로콜리 식초 올리고당 깨 피칸 후춧가루 마요네즈,12
나폴리탄스파게티,양식,2,35,https://wtable.co.kr/recipes/FfMJXpGayqCNf7wEqiR1GgzE?location=recipe_home,비엔나소시지 설탕 케첩 소금 양파 피망 스파게티면 달걀 버터 마늘 방울토마토 올리브유 후춧가루 파마산치즈블럭 맛술,15
마카로니샐러드,양식,1,30,https://wtable.co.kr/recipes/zYaog9mQiMhmnca6gcxzSr2f?location=recipe_home,파프리카 파슬리가루 설탕 소금 마카로니 당근 머스터드 달걀 올리고당 오이 후춧가루 적양파 마요네즈,13
나초샐러드,양식,1,25,https://wtable.co.kr/recipes/hpJ3sEBBpCygHRuRJR5NJwaR?location=recipe_home,나초 어린잎채소 올리고당 베이컨 플레인요거트 파마산치즈가루 올리브유 후춧가루 아보카도 파마산치즈블럭,10
연어샐러드,양식,1,25,https://wtable.co.kr/recipes/PJomn3aFo15fMWRyuWxHUggW?location=recipe_home,소금 케이퍼 다진양파 어린잎채소 훈제연어 양파 레디쉬 올리고당 레몬즙 후춧가루 레몬 오이 씨겨자 올리브오일,14
바나나 누텔라카나페,양식,1,20,https://wtable.co.kr/recipes/nHnxBC1ein8DqoHdvAbRK6yj?location=recipe_home,꿀 누텔라 바게트 바나나 견과류,5
달걀아보카도샐러드,양식,1,25,https://wtable.co.kr/recipes/3JbKKLWakQY7bMZtqDx1xQdN?location=recipe_home,파슬리가루 소금 후추 다진양파 뮤즐리 달걀 올리고당 잎채소 레몬즙 파마산치즈블럭 올리브오일 아보카도,12
명란파스타,양식,2,35,https://wtable.co.kr/recipes/tC9Rwe7BvbbkQNY4XjJNvjid?location=recipe_home,실파 소금 조미김 명란젓 양파 스파게티면 마늘 후춧가루 올리브오일 고추 맛술,11
갈릭버터새우구이,양식,1,30,https://wtable.co.kr/recipes/1qqGn6ygBbDDtKep34UrrHPx?location=recipe_home,페퍼 파슬리가루 소금 버터 다진마늘 아스파라거스 마늘 레몬 후춧가루 새우 양배추 파마산치즈블럭 맛술,13
통새우미니버거,양식,2,30,https://wtable.co.kr/recipes/KmhRhdL3ayNn9CvkTQ9XA9Pg?location=recipe_home,파슬리가루 소금 후추 마요네즈 빵가루 다진양파 밀가루 다진피클 모닝빵 달걀 잎상추 연사비 토마토 후춧가루 적양파 새우 튀김기름 맛술,18
참치아보카도 샐러드,양식,1,5,https://wtable.co.kr/recipes/TsdAma8ASf2dHhTQngx158v9?location=recipe_home,마 표고버섯 포도씨유 소금 국간장 참치 식초 꿀 다진마늘 방울토마토 레몬즙 양파채 후춧가루 아보카도,14
고구마단호박견과류 샐러드,양식,1,20,https://wtable.co.kr/recipes/WSXawufhNdJeAmEZudJoyy35?location=recipe_home,단호박 소금 리코타치즈 헤이즐넛 통아몬드 레몬즙 아몬드슬라이스 후춧가루 고구마 저지방그릭요거트,10
포도피자,양식,1,30,https://wtable.co.kr/recipes/C6ksqp7tk6wyXpfSkxqWtyBR?location=recipe_home,토르티야 꿀 포도 루꼴라 피자치즈 파마산치즈블럭,6
달걀토마토 샐러드,양식,1,5,https://wtable.co.kr/recipes/dYxnz6f3zPKb6JcjqmXBuLtx?location=recipe_home,소금 식초 새싹채소 다진양파 꿀 그레인머스터드 달걀 블랙올리브 대추토마토 올리브유 호두,11
토마토 가스파초,양식,1,20,https://wtable.co.kr/recipes/7wJZrhhokUEwGLiZpRgh4Zq8?location=recipe_home,파프리카 소금 토마토 샐러리 마늘 레몬즙 오이 올리브유 후춧가루,9
불고기베이크,양식,2,30,https://wtable.co.kr/recipes/gaFG1o6fBRUDqhhUBsHb1yx7?location=recipe_home,체더치즈슬라이스 설탕 파프리카 케첩 토르티야 후추 다진양파 양파 머스터드 달걀 쇠고기 간장 피자치즈 다진마늘 피클 맛술,16
치킨꼬르동블루,양식,2,40,https://wtable.co.kr/recipes/5FijhEQU4rkadTKjBUWXTUgS?location=recipe_home,파슬리가루 닭다리살 식용유 빵가루 밀가루 머스터드 달걀 올리고당 체더치즈 레몬즙 샐러드야채 우유 슬라이스햄 마요네즈,14
두부가츠샌드위치 ,양식,2,20,https://wtable.co.kr/recipes/hhR3EHeGerM8HDNM4pfsPzpu?location=recipe_home,두부 물 설탕 소금 후추 식초 어린잎채소 밀가루 빵가루 그레인머스터드 발사믹글레이즈 토마토 식빵 양배추,14
후무스샐러드,양식,2,20,https://wtable.co.kr/recipes/8angQZsXHTwPU7GTpRHXURCe?location=recipe_home,병아리콩 이탈리안파슬리 소금 브로콜리 후추 비트 바게트빵슬라이스 화이트발사믹 마늘 올리브유 아몬드슬라이스,11
몬테크리스토샌드위치,양식,2,30,https://wtable.co.kr/recipes/XxDFURBcJ2SwvyKyMp6Aq8HM?location=recipe_home,설탕 소금 슬라이스체더치즈 식용유 빵가루 허니머스터드 딸기쨈 달걀 식빵 우유 슬라이스햄,11
딸기피자,양식,1,25,https://wtable.co.kr/recipes/E9eTK8PgEnugSWv4b2k1Vo8v?location=recipe_home,딸기 토르티야 꿀 피자치즈 루꼴라 메이플시럽 크림치즈,7
애플소스 핫케이크,양식,2,20,https://wtable.co.kr/recipes/w55PG9QFF9D9TJYsWVfXspwf?location=recipe_home,물 두유 식물성유 소금 통밀가루 전분가루 사과주스 백밀가루 베이킹파우더 사과 메이플시럽,11
연어스테이크,양식,2,40,https://wtable.co.kr/recipes/hk5UNkHm1EwdWABZp55vrJgE?location=recipe_home,화이트인 소금 디종머스터드 후추 양파 연어 올리고당 버터 레몬즙 레몬 우유 씨겨자 올리브오일 딜,14
양송이새우핑거푸드,양식,1,30,https://wtable.co.kr/recipes/GG5WmMh7BkXpkauAcuDieHrt?location=recipe_home,파슬리가루 빵가루 양파 양송이 토마토소스 파마산치즈가루 버터 올리브유 새우,9
크리스마스콥샐러드,양식,1,25,https://wtable.co.kr/recipes/Etpt4vvuahbJgkn3GcmHaz4v?location=recipe_home,파슬리가루 소금 올리브 후추 다진양파 새싹채소 달걀 블랙올리브 모차렐라치즈 올리고당 레몬즙 플레인요거트 방울토마토 우유 아보카도 파마산치즈블럭 마요네즈,17
맥앤치즈,양식,1,30,https://wtable.co.kr/recipes/dERR7j5PvYVA5hVaXGqejrD4?location=recipe_home,파슬리가루 소금 마카로니 밀가루 체더치즈 버터 우유 후춧가루,8
레몬소스 닭고기튀김,양식,2,40,https://wtable.co.kr/recipes/sPPLaGCSk7yQNJJeTHoJUEd5?location=recipe_home,설탕 물 생강즙 소금 식용유 녹말 닭고기안심살 간장 달걀자 레몬 우유 후춧가루,13
고구마치즈구이,양식,1,40,https://wtable.co.kr/recipes/EvangyM85H24hehPiwCzWRZQ?location=recipe_home,파슬리가루 소금 후추 올리고당 체더치즈 피자치즈 버터 우유 고구마,9
스테이크샐러드,양식,1,40,https://wtable.co.kr/recipes/UrUffpmpQrD4XLcBGcrChJVQ?location=recipe_home,소금 표고 후추 라임 발사믹식초 올리고당 쇠고기 잎채소 다진마늘 방울토마토 레몬즙 새송이 적양파 올리브유 올리브오일,15
쇠고기타코,양식,2,30,https://wtable.co.kr/recipes/tdz8LKVnL45PCAc4VLwwctre?location=recipe_home,다진쇠고기 파슬리가루 파프리카 고수 소금 토르티야 후추 양파 토마토소스 플레인요거트 체더치즈 다진마늘 토마토 올리브오일 맛술,15
치킨토르티야랩,양식,1,30,https://wtable.co.kr/recipes/qCPweSmSFderjUuc1NW1ZYY4?location=recipe_home,체더치즈슬라이스 튀김가루 소금 토르티야 후추 빵가루 카레가루 고춧가루 토마토 머스터드 피클 올리고당 할라피뇨 로메인 우유 닭안심 마요네즈,17
바비큐폭립,양식,2,60,https://wtable.co.kr/recipes/UaEgP9RQAxJzTtPjKZrRZsUx?location=recipe_home,파슬리가루 물 토마토케첩 후추 돼지고기등갈비 된장 바비큐소스 올리고당 간장 통후추 마늘 다진마늘 월계수잎 대파 맛술,15
고구마크로크무슈,양식,2,30,https://wtable.co.kr/recipes/Dg25VGCFDFcfuQNG5tjfQMCm?location=recipe_home,슬라이스치즈 소금 꿀 버터 피자치즈 식빵 우유 슬라이스햄 고구마,9
닭가슴살오트밀 샐러드,양식,1,25,https://wtable.co.kr/recipes/fTudpsVAjJDqogm1ftiXS8nj?location=recipe_home,소금 닭가슴살 후추 꿀 식초 라디치오 청주 통마늘 올리고당 잎상추 다진마늘 통후추 참기름 오트밀 토마토 올리브유 간장 대파,19
콘수프,양식,2,35,https://wtable.co.kr/recipes/pAoyqaxTDejiaMswYuzys6pt?location=recipe_home,감자 옥수수 소금 후추 생크림 파슬리 양파 올리고당 버터 우유,10
감자치즈구이,양식,1,40,https://wtable.co.kr/recipes/MhaDYRAJ9Ji4aJmazH6aMxbR?location=recipe_home,스위트콘 감자 케첩 소금 후추 전분가루 버터 체더치즈,8
버섯크림 스파게티,양식,2,40,https://wtable.co.kr/recipes/uYizd78DSG47VWqQoZEJ9Sd9?location=recipe_home,파르메산치즈가루 소금 후추 생크림 양파 양송이버섯 스파게티면 베이컨 느타리버섯 버터 마늘 우유 올리브유,13
뉴욕식버거,양식,2,30,https://wtable.co.kr/recipes/b4NkRphSEj8HHFqLe5XbED68?location=recipe_home,다진쇠고기 케첩 소금 후추 오이피클 체더슬라이스치즈 고춧가루 토마토 머스터드 잎상추 버터 마늘 햄버거빵 올리브유 마요네즈,15
칼라 방울토마토 마리네이드,양식,1,15,https://wtable.co.kr/recipes/WCY2GM6KA8tfwNV9ZxUzasKi?location=recipe_home,바질 소금 후추 발사믹식초 올리고당 레몬즙 레몬 올리브유 적양파 칼라방울토마토,10
클램차우더 수프,양식,2,35,https://wtable.co.kr/recipes/c5tJitPra3uqaQCRB2SFz98A?location=recipe_home,파슬리가루 물 감자 소금 후추 모시조개 샐러리줄기 밀가루 청주 양파 베이컨 버터 샐러리 마늘 우유,15
토마토치킨스튜,양식,2,60,https://wtable.co.kr/recipes/1QHzr824mMnAbEfZxy8DceWH?location=recipe_home,파프리카 물 건고추 파슬리 소금 후추 닭가슴살 양파 로즈마리 양송이버섯 토마토소스 블랙올리브 방울토마토 마늘 월계수잎 우유 올리브유 맛술,18
감자샌드위치,양식,2,40,https://wtable.co.kr/recipes/sFTMT86eYdsM1mWxf6VTjX4d?location=recipe_home,감자 소금 후추 양파 머스터드 올리고당 로메인 곡물식빵 버터 오이 슬라이스햄 마요네즈,12
스카치에그,양식,2,30,https://wtable.co.kr/recipes/GBCExMrSDuLLyUcZ2Ht1xrF6?location=recipe_home,다진쇠고기 케첩 소금 후추 빵가루 다진돼지고기 밀가루 양파 달걀 간장 다진마늘 우유,14
레인보우 피자,양식,2,30,https://wtable.co.kr/recipes/Yhy7uFMQVfFYdpDprgxxEVCn?location=recipe_home,파프리카 스위트콘 소금 슬라이스햄 후추 토르티야 토마토소스 피자치즈 방울토마토 올리브유 적채,11
새우카츠샌드,양식,2,35,https://wtable.co.kr/recipes/5but9gmk2Eyt47BTHDUcNksZ?location=recipe_home,소금 후추 빵가루 밀가루 로켓잎 달걀 돈가스소스 식빵 양배추 새우 마요네즈,11
아란치니,양식,2,35,https://wtable.co.kr/recipes/Zw1J9uf212fmakp7sUkkooKE?location=recipe_home,파프리카 어린잎새싹 파슬리가루 다진토마토 소금 후추 식용유 빵가루 다진양파 밀가루 양파 밥 달걀 베이컨 토마토소스 피자치즈 레몬즙 올리브유,18
모닝빵 핫도그,양식,1,25,https://wtable.co.kr/recipes/EhvNCAncpkphpRyyeJbVQXNo?location=recipe_home,비엔나소시지 치커리 체더치즈슬라이스 케첩 오이피클 양파 모닝빵 머스터드 마요네즈,9
아마란스 샐러드,양식,1,25,https://wtable.co.kr/recipes/3imkdCpe99wCqffFa15s6RPL?location=recipe_home,적채 소금 후추 발사믹식초 느타리버섯 올리고당 새송이버섯 아마란스 토마토 올리브오일 로메인,11
허니포테이토 그라탱,양식,2,45,https://wtable.co.kr/recipes/yXBxomo7AMw7Y7craXPPEamk?location=recipe_home,파슬리가루 감자 소금 후추 생크림 꿀 베이컨 파마산치즈가루 피자치즈 파마산치즈 카망베르치즈 후레쉬모차렐라치즈,12
과카몰리,양식,2,20,https://wtable.co.kr/recipes/ys56AHsWvZpDXNutuP8RnDD9?location=recipe_home,소금 라임 파슬리 할라피뇨 다진마늘 토마토 적양파 아보카도,8
메추리알 감자샐러드,양식,2,40,https://wtable.co.kr/recipes/BPptboCJUqGRg1NQRcc9eBwh?location=recipe_home,감자 파슬리 소금 머스터드소스 후추 메추리알 올리고당 베이컨 잎채소 오이 아몬드슬라이스 마요네즈,12
크루아상 크래미샌드위치,양식,1,25,https://wtable.co.kr/recipes/ocKuLDEMKsj6hpLzoaRwHEDs?location=recipe_home,크루아상 치커리 크래미 소금 오이피클 후추 허니머스터드 양파 머스터드 올리고당 토마토 마요네즈,12
하와이안무스비,양식,2,40,https://wtable.co.kr/recipes/yomUAruHGHwedVCLGnbAUpru?location=recipe_home,소금 후추 스팸 김밥용김 묵은지 밥 달걀 깨 참기름 오이 맛술,11
