요리,종류,난이도,소요시간,링크,재료,재료수
쇠고기 버섯 솥밥,메인요리,1,50,https://wtable.co.kr/recipes/vuxnBDQk6S9pzw52XNDbAUPt?location=recipe_home,설탕 표고버섯 물 쌀 만가닥버섯 고춧가루 쪽파 올리고당 쇠고기 새송이버섯 간장 다진마늘 참기름 다진청양고추 다시마육수 통깨 맛술,17
새우 오일 파스타,메인요리,1,30,https://wtable.co.kr/recipes/BdDj1VHpwiEdjr6WCJAHi4ae?location=recipe_home,소금 치킨스톡 다리새우 스파게티 이태리파슬리 페페론치노 루꼴라 마늘 후춧가루 올리브오일,10
에그누들 크림 파스타,메인요리,1,10,https://wtable.co.kr/recipes/MXsXre65oarF1cmuwMRc6QwV?location=recipe_home,에그누들 청귤 피스타치오 소금 딱새우 식용유 청귤크림소스,7
에그누들 볶음,메인요리,1,10,https://wtable.co.kr/recipes/AHKg2bT4VdzAhCsmXsBNqFXq?location=recipe_home,에그누들 브로콜리 식용유 우도땅콩 양파 쪽파 당근 목살 볶음소스,9
어향가지,메인요리,2,40,https://wtable.co.kr/recipes/zbfFTFgk89UmBvbcCBq5UgUN?location=recipe_home,물 달걀자 후춧가루 설탕 식용유 마늘 건고추 홍고추 고추기름 식초 전분가루 청양고추 굴소스 참기름 대파 맛술 가지 전분물 간장 두반장,20
표고 미역국,메인요리,1,40,https://wtable.co.kr/recipes/W2exMwa9yKgXDX6hfdySpY6V?location=recipe_home,건표고 다시마물 국간장 소금 표고버섯불린물 들깨가루 들기름 다진마늘 후춧가루 건미역 맛술,11
베이컨 치즈 말이밥,메인요리,2,30,https://wtable.co.kr/recipes/KgcHxDPrdfTemeEoL7nsrE6C?location=recipe_home,슬라이스치즈 소금 파슬리 밥 베이컨 참기름 김밥용우엉,7
소금빵,메인요리,1,15,https://wtable.co.kr/recipes/WqH6ZpK9yRZF3Jii5yDjx7fy?location=recipe_home,버터 크루아상생지 소금,3
채소 전골,메인요리,2,40,https://wtable.co.kr/recipes/pf2ejrsqz2C6wKK47mMKiHqG?location=recipe_home,다시마물 국간장 느타리버섯 알배추 깻잎 후춧가루 소금 식용유 생강가루 단호박 건표고우린물 식초 양파 실곤약 맛술 두부 표고버섯 유부 팽이버섯 연근 비정제설탕 당근 간장 레몬즙 청경채,25
간장 계란밥,메인요리,1,10,https://wtable.co.kr/recipes/SS6pmfeR7U5qktXxH1XoPwnv?location=recipe_home,쪽파 밥 달걀 참기름 간장 버터 김가루 통깨,8
양배추 베이컨 볶음밥 ,메인요리,1,20,https://wtable.co.kr/recipes/U6HbJYrKKe3BBEAuXaUKsD84?location=recipe_home,베이컨슬라이스 소금 식용유 양배추 굴소스 쪽파 밥 참기름 간장 마늘 후춧가루 통깨,12
달걀 간장 비빔국수,메인요리,1,30,https://wtable.co.kr/recipes/PytpsB99nVLpHUaA7XQiYtxN?location=recipe_home,설탕 진간장 쪽파 올리고당 달걀 참기름 다진마늘 소면 후춧가루 통깨,10
굴 배춧국,메인요리,2,30,https://wtable.co.kr/recipes/ijh5T9ondwjGCwMvWZvCWm46?location=recipe_home,멸치다시마육수 국간장 홍고추 굴 소금 무 청양고추 당근 참기름 다진마늘 알배추 후춧가루 대파,13
늙은호박 영양 솥밥,메인요리,2,40,https://wtable.co.kr/recipes/P554kCmoAUkcRubUEB1uGihV?location=recipe_home,표고버섯 실파 쌀 소금 고춧가루 올리고당 닭안심 참기름 손질한호박 간장 은행 다진마늘 찹쌀 다시마육수 통깨 다진파 맛술,17
달걀밥,메인요리,1,15,https://wtable.co.kr/recipes/xNJeUtapRLiLUUdSgJR37QUa?location=recipe_home,물 참치캔 홍고추 청고추 밥 달걀 간장 피자치즈 후춧가루 대파,10
라이스페이퍼 꿔바로우,메인요리,2,30,https://wtable.co.kr/recipes/zFxvoKLRHqd8wqLBZ5Sd1Ua2?location=recipe_home,설탕 물 생강 식용유 물엿 사과식초 전분물 간장 마늘 라이스페이퍼 대파 돼지고기등심 맛술,13
고사리 간장 비빔국수,메인요리,1,30,https://wtable.co.kr/recipes/3hJFiJ4c3gtzeqUxnjhJF4P8?location=recipe_home,설탕 소금 청양고추 달걀노른자 올리고당 간장 다진마늘 참기름 소면 고사리 후춧가루 대파 통깨,13
알배추 파스타,메인요리,1,20,https://wtable.co.kr/recipes/e6H3g7AcCXWLauyfVc5hPPo2?location=recipe_home,국간장 소금 파스타면 식용유 쪽파 들기름 마늘 페퍼론치노 알배추 후춧가루,10
돼지고기 김치찜,메인요리,2,80,https://wtable.co.kr/recipes/G9Veevr9DCCSeABWg7TPgmZX?location=recipe_home,멸치다시마육수 설탕 홍고추 고춧가루 청양고추 김치국물 통삼겹살 다진마늘 신김치 후춧가루 대파 맛술,12
연어 그라브락스 샐러드,메인요리,1,30,https://wtable.co.kr/recipes/PYRgAASmr8y6z24jwDH4zq4c?location=recipe_home,퀴노아 샐러드채소 양파 연어그라브락스 올리고당 요거트 레몬즙 다진마늘 후춧가루 마요네즈,10
무 짜글이,메인요리,1,40,https://wtable.co.kr/recipes/UyFZaLUrmxwHb7fSiWxdeJTK?location=recipe_home,홍고추 무 다시마멸치육수 고춧가루 청양고추 고추장 된장 다진마늘 대파 차돌박이,10
라이스페이퍼 만두,메인요리,1,30,https://wtable.co.kr/recipes/6SYGv55wA3UsXHqPBEdujLmF?location=recipe_home,두부 물 참치캔 라이스페이퍼 소금 전분 식용유 식초 양배추잎 달걀 참기름 다진마늘 간장 깻잎 다진청양고추 후춧가루 피쉬소스,17
전자레인지 순두부 덮밥,메인요리,1,15,https://wtable.co.kr/recipes/Df3rKyogeSmaSenpXZ2CWCNf?location=recipe_home,파프리카 설탕 케첩 고춧가루 노랑 청양고추 양파 애호박 쪽파 밥 고추장 올리고당 간장 참기름 후춧가루 순두부 통깨 마요네즈,18
밤 수프,메인요리,1,30,https://wtable.co.kr/recipes/MJbRY38kv4SjVUs4Re5j987k?location=recipe_home,물 소금 맛밤 치킨스톡 양파 버터 우유 후춧가루 고구마,9
